# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1533416,3,musees,Museo Civico di Storia Naturale de Milan
Q1534505,1,gorges,Gorge de Su Gorroppu
Q1536232,1,gorges,Gorges de l'Alcantara
Q15410555,3,lacs,Lac Sorapiss
Q1541068,1,piazzas,Largo di Torre Argentina
Q1545440,3,sommets,Monte Cadria
Q1546378,3,musees,Observatoire astronomique des Abruzzes
Q1546380,3,megalithes,Temple d'Artémis à Syracuse
Q1547160,1,maisons,Vittoriale degli italiani
Q1547618,1,grottes,Grottes de Pertosa
Q1547628,1,grottes,Grotta Gigante
Q1547653,1,grottes,Grottes de Castellana
Q155031,3,sommets,Gridone
Q15516697,3,villages,Vallefoglia
Q15520849,3,villages,Castelfranco Piandiscò
Q155225,2,cathedrales,Basilique de San Zanipolo
Q15523,1,lacs,Lac de Côme
Q15527609,3,villages,Scarperia e San Piero
Q1555998,3,iles,Isola Madre
Q15631519,3,monuments,Palazzo del Capitano del Popolo
Q15648,1,lacs,Lac d'Iseo
Q1569127,3,lacs,Lac de San Valentino alla Muta
Q1574784,3,lacs,Lago Delio
Q1576596,2,jardins,Parcs de Nervi
Q157686,3,villages,Campiglia Marittima
Q157824,2,villages,Piombino
Q1579896,3,megalithes,Labicum
Q1579923,3,musees,Palais de Monza
Q1581882,3,cathedrales,Basilique Saint-André
Q1582108,3,maisons,Villa Torlonia
Q158526,1,sommets,Mont Titano
Q1585931,3,musees,Villa Medicea di Cerreto Guidi
Q1590855,3,megalithes,Maison des Vettii
Q1594614,3,chateaux,Rocca Maggiore
Q159474,3,villages,Acquapendente
Q159498,3,villages,Bagnoregio
Q159529,3,villages,Bassano in Teverina
Q1595905,3,piazzas,Piazza Marina
Q15961522,3,musees,Musée archéologique national de Tarquinia
Q15965575,3,chateaux,Château de Ceppaloni
Q1598119,3,sommets,Corno Bianco
Q1611116,3,piazzas,Piazza del Gesù Nuovo
Q1617215,3,megalithes,Théâtre romain de Bénévent
Q16268344,3,dunes-marais,Dune di Massenzatica
Q16328376,3,megalithes,Hipponion
Q16336153,3,musees,Musée et église Saint-François
Q1635704,2,musees,Palais ducal de Mantoue
Q1635935,3,sommets,Mont Gelbison
Q1637553,3,sommets,Colma di Mombarone
Q1638880,1,jardins,Jardin botanique alpin Paradisia
Q1639175,3,monuments,Palais des papes de Viterbe
Q1639494,3,megalithes,Longula
Q1644597,3,cathedrales,Église de la Martorana de Palerme
Q1645600,2,piazzas,Piazza dell'Unità d'Italia
Q1648022,1,volcans,Vulcano
Q1650259,2,chateaux,Rocca Roveresca
Q165069,1,chateaux,Château de Miramare
Q16511590,3,monuments,Tour Asinelli
Q16536381,2,gorges,Gola del Limarò
Q16536487,2,plages,Capo Bianco
Q1654198,2,chateaux,Château Tyrol
Q1654531,3,lacs,Lac de Vernago
Q16555281,1,phares,Phare de Portoferraio
Q16580527,3,maisons,Museo Casa De Gasperi
Q16586050,3,monuments,Palais Carciotti
Q16586080,3,monuments,Palais Contarini delle Figure
Q16590029,2,piazzas,Piazza IV Novembre
Q16591840,3,musees,Puits étrusque de Pérouse
Q16608028,2,plages,Plage de Punta Penna
Q16616997,3,monuments,Torrione INA
Q16626658,2,jardins,Roseraie Niso Fumagalli
Q1664412,2,plages,Péninsule du Sinis
Q1665695,2,piazzas,Quattro Canti
Q1665908,3,megalithes,Interamna Lirenas
Q1668196,2,musees,Musée Galilée
Q1672403,3,sommets,Monte Cesen
Q1674445,3,iles,Île Bisentina
Q1674451,3,iles,Île Martana
Q1674456,3,iles,Île Comacina
Q1674460,3,iles,Isola Maggiore
Q1674467,2,iles,Île Saint-Jules
Q1675176,3,musees,Musée historique de l'aviation de Vigna di Valle
Q167669,3,sommets,Mont Labbro
Q16773577,3,monuments,Palais Gottifredo
Q1677980,3,cathedrales,Basilique San Francesco
Q16990,1,volcans,Etna
Q17266053,3,monuments,Palais Natoli
Q1727103,2,lacs,Lac de Tenno
Q1728834,3,musees,Catacombes capucines de Palerme
Q1729630,3,sommets,Monte Cavo
Q172988,1,cathedrales,Basilique Saint-Marc
Q1732146,2,megalithes,Complexe nuragique de Palmavera
Q173292,1,iles,Capri
Q17334557,3,sommets,Mont Santu
Q17341,3,villages,Cella Monte
Q1736222,2,cathedrales,Cathédrale de Syracuse
Q1736225,3,cathedrales,Cathédrale de Trieste
Q17366,3,villages,Garbagna
Q174054,2,iles,Isola Bella
Q1746657,3,sommets,Pal Piccolo
Q174693,3,cathedrales,Cathédrale de Troia
Q17494386,1,maisons,Villa Monastero
Q1749976,3,musees,Serra Orrios
Q1749977,3,sommets,Monte Berlinghera
Q1752113,3,sommets,Mont Capanne
Q1753598,3,chateaux,Forteresse de San Leo
Q1754247,1,cathedrales,Dôme de Pise
Q1755973,3,musees,Musée archéologique du Haut-Adige
Q1759446,1,maisons,Villa Balbianello
Q1761445,3,lacs,Lac de Neves
Q17623660,3,villages,Canale di Tenno
Q17623957,2,cascades,Cascate di Stieber
Q17624167,3,chateaux,Château de Squillace
Q17632175,2,grottes,Grottes de Scurati
Q1763642,3,cathedrales,Basilique San Zeno de Vérone
Q17637764,3,monuments,Orologio planetario Fanzago
Q17637767,1,gorges,Gorges d'Uriezzo
Q17640347,3,plages,Penisola della Maddalena
Q1765144,3,jardins,Jardin Botanique de l'Université de Pavie
Q17686,3,villages,Tortone
Q17701,3,villages,Volpedo
Q177061,3,megalithes,Amiternum
Q1772490,3,sommets,Rocca Busambra
Q1774956,3,abbayes,Abbaye Santa Maria Arabona
Q1775223,3,abbayes,Abbaye de Follina
Q1775258,2,abbayes,Abbaye de Fossanova
Q1775907,2,chateaux,Rocchetta Mattei
Q1775991,3,abbayes,Abbaye Santo Stefano del Bosco
Q177695,3,villages,Ronciglione
Q17774,3,villages,Castagnole delle Lanze
Q177741,3,villages,Sutri
Q17798,3,villages,Cocconato
Q17821,3,villages,Mombaldone
Q1782566,3,megalithes,Sulky
Q1784719,2,piazzas,Piazza dei Cavalieri
Q178699,3,cathedrales,Cathédrale de Bologne
Q178813,1,megalithes,Herculanum
Q1791020,1,abbayes,San Lazzaro degli Armeni
Q1800424,3,lacs,Lago di Giacopiane
Q1800431,3,lacs,Lago di Piana degli Albanesi
Q1800433,3,lacs,Lago di Santa Croce
Q1800436,3,lacs,Lac de Valvestino
Q1800441,3,lacs,Lac de Viverone
Q180212,2,megalithes,Forum Romain
Q18022857,3,lacs,Lac de Prà della Stua
Q180355,3,villages,Vitorchiano
Q18040,3,villages,Candelo
Q1805319,3,villages,Montemerano
Q1805723,3,megalithes,Laos
Q18068,1,cathedrales,Dôme de Milan
Q1809027,2,ponts,Pont Scaliger
Q1809639,3,cathedrales,Église San Michele in Foro
Q1810954,3,sommets,Alpe di Succiso
Q1811284,3,lacs,Lago Santo
Q1811289,3,lacs,Lech dl Dragon
Q1815153,3,monuments,Tour Mileto
Q18155,3,villages,Rosazza
Q1817943,3,megalithes,Autel de Hiéron
Q1819804,2,monuments,Tour des Lamberti
Q18202665,3,megalithes,Site archéologique de Polizzello
Q18209,3,villages,Pontechianale
Q1825356,3,monuments,Théâtre romain de Volterra
Q18416869,3,maisons,Musée-maison Lodovico Pogliaghi
Q18429979,3,villages,Oriolo
Q18445963,3,villages,Cicogna
Q18449160,3,villages,Lollove
Q18449189,3,villages,Toppo
Q18454111,3,villages,Foglia
Q18467441,3,villages,Cornello
Q18485926,3,villages,Raggiolo
Q18487805,3,monuments,Palazzo Guelfi
Q18490472,3,villages,Grazie
Q18498355,3,megalithes,Colombarone (Pesaro)
Q18502522,3,villages,Vho
Q18505513,3,villages,San Giorgio di Valpolicella
Q1851610,2,musees,Musée historique Alfa Romeo
Q18590113,3,megalithes,Temple de Diane
Q18601767,3,villages,Valvasone Arzene
Q18601851,3,villages,San Lorenzo Dorsino
Q1862652,3,maisons,Villa Medicea del Trebbio
