decision,curator_note,theme_id,name,wikidata_id
demote,,,"Lac de Segrino",Q3825864
demote,,,"Lac de Pusiano",Q63177
demote,,,"Lac de Santa Giustina",Q2222728
demote,,,"Villa Badoer",Q2031664
demote,,,"Villa Palagonia",Q1241262
demote,,,"Villa Poiana",Q2688899
keep,,,"Villa Angarano",Q2299483
demote,,,"Élée",Q272968
demote,,,"Cumes",Q243456
demote,,,"Vulci",Q931172
demote,,,"Canne",Q568611
demote,,,"Alba Fucens",Q944515
keep,,,"Olympéion d'Agrigente",Q2000309
keep,,,"Temple de Vesta",Q1219688
keep,,,"Ca' Vendramin Calergi",Q1265593
keep,,,"Palais ducal d'Urbin",Q1267721
keep,,,"Teatro comunale",Q2306368
keep,,,"Palazzo Ducale",Q1054370
keep,,,"Catacombes capucines de Palerme",Q1728834
keep,,,"Musée Ferrari",Q2706867
keep,,,"Galleria Estense",Q774128
demote,,,"Piazza Mercanti",Q929968
demote,,,"Piazza De Ferrari",Q1411612
demote,,,"Place Vittorio Veneto",Q3902364
demote,,,"Viaduc Sfalassà",Q7459703
demote,,,"Ponte di San Francesco di Paola",Q844249
demote,,,"Mont Soracte",Q1334215
demote,,,"Mont Vultur",Q509433
demote,,,"Mont Prado",Q1386054
demote,,,"Matajur",Q1481385
demote,,,"Mont Subasio",Q525113
keep,,,"Mont Époméo",Q729764
keep,,,"Musée de Castelvecchio",Q2518724
keep,,,"Musée Revoltella",Q1954273
keep,,,"Basilique San Pietro in Ciel d'Oro",Q2036332
keep,,,"Basilique San Domenico",Q862602
demote,,,"Île Comacina",Q1674456
keep,,,"Santo Stefano",Q2014084
demote,,,"Isola Maggiore",Q1674460
demote,,,"Villa La Gaeta",Q29997039
demote,,,"Tunnels de Claude",Q23000145
keep,,,"Palazzo Donn'Anna",Q718790
keep,,,"Maison des Vettii",Q1590855
demote,,,"Tour Mileto",Q1815153
