wikidata_id,theme_id,note,nom,departement,osm_id,horaires,tarif,site_web,lat,lon
Q3868361,musees,"Museo Etnografico ""C'era una volta""","Museo Etnografico ""C'era una volta""",006,node/3456136069,"Mo,Tu,Th,Fr,Sa 09:00-12:00, 16:00-19:00; We 09:00-12:00; Su 16:00-19:00",yes,https://www.museogambarina.it,44.915698,8.618006
Q55375345,musees,Museo Etnografico,Museo Etnografico,119,node/956151760,"Mo-Su 10:00-13:00,15:00-20:00",yes,https://startuno.it/mulino/,39.435789,8.497469
Q55829263,musees,Museo Erbario,Museo Erbario,058,node/6500631681,"Mo-Fr 09:30-13:30; 14:00-18:00 ""by appointment""",no,https://web.uniroma1.it/erbario/,41.902766,12.516962
Q3868319,musees,Museo Diocesano d'Arte Sacra,Museo Diocesano d'Arte Sacra,001,way/291983703,"Jul-Aug Mo,Su 15:00-18:30; Jul-Aug Tu-Sa 09:30-12:00,15:00-18:30; Sep-Jun Mo-Fr off; Sep-Jun Sa,Su 14:30-18:00",yes,http://www.centroculturalediocesano.it/,45.136987,7.047674
Q53709929,musees,Museo Diocesano,Museo Diocesano,078,way/303735074,Mo-Sa 08:30-13:30,no,https://www.museodiocesanocosenza.it/,39.288436,16.261133
Q3868251,musees,"Museo Diffuso della Resistenza, della Deportazione, della Guerra, dei Diritti e della Libertà","Museo Diffuso della Resistenza, della Deportazione, della Guerra, dei Diritti e della Libertà",001,node/6433974757,"Tu,We,Fr-Su 10:00-18:00; Mo off",yes,https://www.museodiffusotorino.it/Home,45.075819,7.674200
Q27992733,musees,Museo Crespi Bonsai,Museo Crespi Bonsai,015,node/6432767564,"Mo 14:30-18:30; Tu-Sa 09:30-12:30,14:30-18:30",yes,https://www.crespibonsai.com/it/content/15-museo-crespi-bonsai,45.570741,8.957377
Q27992744,musees,Museo Civico di Storia Naturale Craveri,Museo Civico di Storia Naturale Craveri,004,way/368083379,"Mo-Th 15:00-18:00; Fr-Sa off; Su 10:00-12:30,15:00-18:00; Mo-Fr 08:30-12:30 ""educational activities""",yes,https://www.museidibra.it/museocraveri,44.700937,7.851820
Q30888845,musees,Museo Civico Floriano Bodini,Museo Civico Floriano Bodini,012,node/3816747721,"Sa-Su 10:30-12:30,15:00-18:00; Mo-Fr off; PH off",yes,https://www.museobodini.it/,45.880049,8.675312
Q3329420,musees,Museo Civico Archeologico delle Acque di Chianciano Terme,Museo Civico Archeologico delle Acque di Chianciano Terme,052,node/2575548693,"Nov-Mar: Sa,Su 10:00-13:00,15:00-18:00",yes,https://www.museoetrusco.it/,43.058332,11.825651
