# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q1696035,3,abbayes,Abbaye de Lachalade
Q16964634,3,musees,Cité du Vin
Q16964856,2,maisons,Villa Majorelle
Q1709158,3,cathedrales,Cathédrale Sainte-Eulalie-et-Sainte-Julie d'Elne
Q1711691,2,cathedrales,Cathédrale Saint-Bénigne de Dijon
Q1711734,2,sommets,Salève
Q17173414,2,volcans,Mont d'Alambre
Q1721201,2,sommets,Petit Ballon
Q172125,1,grottes,Grotte de Lascaux
Q1726347,3,jardins,Parc floral de Paris
Q1728299,3,plages,Cap Fagnet
Q1728337,3,plages,Cap d'Antifer
Q17347123,3,maisons,Maison Zervos
Q1736164,3,cathedrales,Cathédrale Saint-Jean de Belley
Q1736169,3,cathedrales,Cathédrale Saint-Pierre d'Angoulême
Q1736171,3,cathedrales,Cathédrale Sainte-Marie de Bayonne
Q1736174,3,cathedrales,Cathédrale Saint-Nazaire-et-Saint-Celse de Béziers
Q1736175,3,cathedrales,Cathédrale Saint-Michel de Carcassonne
Q1736177,3,cathedrales,Cathédrale Notre-Dame de Dax
Q1736197,3,cathedrales,Cathédrale Saint-Pierre de Montpellier
Q1736213,1,cathedrales,Cathédrale Saint-Front
Q1736217,3,cathedrales,Cathédrale Notre-Dame de Senlis
Q1736223,2,cathedrales,Cathédrale Saint-Gervais-et-Saint-Protais de Soissons
Q17373121,1,rochers,Porte d'Aval
Q173861,3,chateaux,Fort de Vézelois
Q17417892,3,sommets,Okabe
Q1753191,3,megalithes,Arc de Carpentras
Q1754337,1,dunes-marais,Marais poitevin
Q1754399,3,abbayes,Abbaye aux Dames de Caen
Q175676,1,plages,Cap Fréhel
